source,brand,description,original_price,final_price
babyartikel,Hauck,Hauck Bouncer 2in1 Premium (verstellbarer Neugeborenenaufsatz & Wippe) für Alpha & Beta Hochstuhl - Jersey Charcoal,89.9,89.9
babyartikel,Hauck,Hauck Bouncer 2in1 Premium (verstellbarer Neugeborenenaufsatz & Wippe) für Alpha & Beta Hochstuhl - Nordic Grey,89.9,89.9
babyartikel,Hauck,Hauck Alpha Plus Natur 5-tlg. XXL Newborn Set - Hochstuhl + 2in1 Neugeboreneneinsatz + Alpha Tray + Sitzpolster,229.6,179.99
babyartikel,Hauck,Hauck Alpha Plus Grau Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Jersey Charcoal + Sitzpolster,219.97,189.9
babyartikel,Hauck,Hauck Hochstuhl Alpha Natur - im Sparset inkl. Holz-Essbrett und Sitzkissen Nordic Grey,159.7,119.9
babyartikel,Hauck,Hauck Sitzpolster / Sitzverkleinerer - Deluxe für Alpha Hochstuhl - Grau,24.9,19.9
babyartikel,Hauck,Hauck Alpha Plus Walnut Newborn Set - 4-tlg. Hochstuhl + Neugeboreneneinsatz & Wippe Stretch Beige + Sitzpolster,149.97,129.99
babyartikel,Hauck,Hauck Hochstuhl & Babyliege ab Geburt - Grow Up Newborn Set (faltbar & klappbar) - Melange Grey,179.99,139.99
babyartikel,Hauck,"Hauck Beta Plus White Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Premium, Essbrett, Sitzkissen - Jersey Charcoal",219.8,199.99
babyartikel,Hauck,Hauck Neugeborenenaufsatz & Wippe für Alpha Hochstuhl - Bouncer 2in1 - Hearts Grey,74.9,56.98
babyartikel,Hauck,Hauck Sitzverkleinerer für Alpha Hochstuhl - Select Line - Jersey Charcoal,39.9,34.9
babyartikel,Hauck,Hauck Alpha Tray - 2-teiliges Essbrett & Tisch für Alpha Hochstühle - Grey / Grau,54.9,39.99
babyartikel,Hauck,Hauck Essbrett & Tisch aus Holz für Alpha Hochstühle (Wooden Tray) - Natur,39.9,29.9
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Rose - im Sparset inkl. Sitzkissen Deluxe Grey - Rosa,119.9,89.9
babyartikel,Hauck,"Hauck Beta Plus White Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Premium, Essbrett, Sitzkissen - Nordic Grey",199.99,199.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Charcoal Selectline - im Sparset inkl. Holz-Essbrett und Sitzkissen Jersey Charcoal,189.7,129.9
babyartikel,Hauck,Hauck Alpha Plus Natur Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Jersey Charcoal + Sitzpolster,189.7,169.9
babyartikel,Hauck,Hauck Alpha Plus Grau Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Nordic Grey + Sitzpolster,194.7,169.9
babyartikel,Hauck,Hauck Hochstuhlauflage Deluxe - Nordic Grey,29.9,29.9
babyartikel,Hauck,Hauck Alpha Plus White Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Nordic Grey + Sitzpolster,194.7,169.9
babyartikel,Hauck,Hauck Alpha Plus Grau Newborn Set Deluxe - 4-tlg. Hochstuhl + 2in1 Neugeboreneneinsatz (verstellbar) + Sitzpolster,179.97,159.99
babyartikel,Hauck,Hauck Alpha Plus White Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Jersey Charcoal + Sitzpolster,179.9,179.9
babyartikel,Hauck,Hauck Alpha Plus Natur Newborn Set - 4-tlg. Hochstuhl + Aufsatz & Wippe Premium Nordic Grey + Sitzpolster,184.7,159.9
babyartikel,Hauck,Hauck Beta Plus Natur Newborn Set Deluxe - 5-tlg. Hochstuhl + 2in1 Neugeboreneneinsatz + Essbrett + Sitzpolster,179.99,169.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Move - mit Essbrett und Rollen - Natur,119.9,99.9
babyartikel,Hauck,Hauck Alpha Plus Natur Newborn Set - 4-tlg. Hochstuhl + Neugeboreneneinsatz & Wippe Stretch Beige + Sitzpolster,149.97,129.99
babyartikel,Hauck,Hauck Neugeborenenaufsatz & Wippe für Alpha Hochstuhl - Bouncer 2in1 - Hearts Beige,74.9,56.98
babyartikel,Hauck,Hauck Alpha Plus Weiß Newborn Set Deluxe - 4-tlg. Hochstuhl + 2in1 Neugeboreneneinsatz (verstellbar) + Sitzpolster,179.97,159.99
babyartikel,Hauck,Hauck Alpha Plus Grau XXL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Zubehör - Jersey Charcoal,294.5,249.99
babyartikel,Hauck,Hauck Hochstuhl Beta Plus - Whitewashed Dots,109.99,109.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Grey - im Sparset inkl. Sitzkissen Jersey Charcoal - Grau,109.8,89.9
babyartikel,Hauck,"Hauck Beta Plus White Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Deluxe, Essbrett, Sitzkissen - Melange Grey",189.99,189.99
babyartikel,Hauck,Hauck Hochstuhl Gamma Plus Set Natur - inkl. Essbrett und Sitzpolster Deluxe,114.8,84.99
babyartikel,Hauck,Hauck Alpha Plus Grey Newborn Set - 4-tlg. Hochstuhl + Neugeboreneneinsatz & Wippe Stretch Grey + Sitzpolster,159.97,139.99
babyartikel,Hauck,Hauck Hochstuhl Beta Plus - Natur Check,109.99,109.99
babyartikel,Hauck,Hauck Hochstuhl Gamma Plus - Natur,89.9,74.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Select - Charcoal / Dunkelgrau,119.9,119.9
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Natur - im Sparset inkl. Sitzkissen Nordic Grey,89.9,89.9
babyartikel,Hauck,Hauck Hochstuhlauflage Deluxe - Select Line - Jersey Charcoal,29.9,29.9
babyartikel,Hauck,"Hauck Beta Plus White Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe, Essbrett, Sitzkissen - Stretch Grey",169.99,169.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Grau - im Sparset inkl. Sitzkissen Nordic Grey,104.89,89.99
babyartikel,Hauck,Hauck Alpha Plus White Newborn Set - 4-tlg. Hochstuhl + Neugeboreneneinsatz & Wippe Stretch Grey + Sitzpolster,159.97,139.99
babyartikel,Hauck,Hauck Hochstuhl & Babyliege Sit'n Relax - Hearts,149.9,109.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Natur - im Sparset inkl. Sitzkissen Jersey Charcoal,99.8,84.99
babyartikel,Hauck,"Hauck Hochstuhl Alpha Plus Move Natur - im Sparset inkl. Essbrett, Sitzkissen Deluxe Beige und 2x Silikonteller",164.6,119.9
babyartikel,Hauck,Hauck Verstellbarer Neugeborenenaufsatz & Wippe für Alpha & Beta Hochstuhl - Bouncer 2in1 Deluxe - Melange Grey,79.99,79.99
babyartikel,Hauck,"Hauck Hochstuhl Beta Plus White - inkl. Essbrett, Sitzkissen und Rollen - Weiß",139.9,119.9
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus - Rose,99.9,99.9
babyartikel,Hauck,Hauck Schutzbügel aus Holz für Alpha Plus Move Hochstuhl - Natur,24.9,19.99
babyartikel,Hauck,Hauck Alpha Plus Weiss XL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Sitzauflage - Nordic Grey,249.6,199.99
babyartikel,Hauck,Hauck Alpha Plus Weiss XXL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Zubehör - Jersey Charcoal,294.5,249.99
babyartikel,Hauck,Hauck Alpha Plus Grau XL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Sitzauflage - Nordic Grey,249.6,199.99
babyartikel,Hauck,Hauck Alpha Plus Natur XXL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Zubehör - Jersey Charcoal,284.5,239.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus White - im Sparset inkl. Sitzkissen Nordic Grey - Weiß,104.8,84.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus White - im Sparset inkl. Sitzkissen Jersey Charcoal - Weiß,109.8,89.99
babyartikel,Hauck,Hauck Alpha Plus Natur XL Newborn Set - Hochstuhl + 2in1 Aufsatz + Alpha Tray Essbrett + Sitzauflage - Nordic Grey,239.6,199.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus Rose - im Sparset inkl. Sitzkissen Jersey Charcoal - Rosa,109.8,89.99
babyartikel,Hauck,"Hauck Alpha Move Natur Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe, Essbrett, Sitzkissen - Stretch Beige",214.7,159.9
babyartikel,Hauck,Hauck Alpha Tray - 2-teiliges Essbrett & Tisch für Alpha Hochstühle,54.9,44.9
babyartikel,Hauck,Hauck Hochstuhl & Babyliege ab Geburt - Sitn Care Newborn Set (faltbar & klappbar) - Stretch Grey,199.99,109.99
babyartikel,Hauck,Hauck Verstellbarer Neugeborenenaufsatz & Wippe für Alpha & Beta Hochstuhl - Bouncer 2in1 Deluxe - Sand,79.99,79.99
babyartikel,Hauck,"Hauck Sitn Relax 3in1 - Hochstuhl ab der Geburt, Babyliege und Wippe - Nordic Grey",209.9,159.9
babyartikel,Hauck,"Hauck Hochstuhl Alpha Move Natur - im Sparset inkl. Essbrett, Sitzkissen Jersey Charcoal und 2x Silikonteller",174.6,129.9
babyartikel,Hauck,Hauck Sitzpolster / Sitzverkleinerer - Deluxe für Alpha Hochstuhl - Beige,24.9,19.9
babyartikel,Hauck,Hauck Alpha Plus Walnut Newborn Set Deluxe - 4-tlg. Hochstuhl + 2in1 Neugeboreneneinsatz (verstellbar) + Sitzpolster,169.97,149.99
babyartikel,Hauck,"Hauck Alpha Move Natur Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Deluxe, Essbrett, Sitzkissen - Sand",224.7,179.9
babyartikel,Hauck,Hauck Beta Plus Newborn Set - Hochstuhl + Neugeborenenaufsatz & Babywippe - White-Washed Dots,159.99,149.99
babyartikel,Hauck,"Hauck Alpha Move Natur Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Premium, Essbrett, Sitzkissen - Jersey Charcoal",239.7,199.9
babyartikel,Hauck,"Hauck Alpha Move Natur Newborn Set - 5-tlg. Hochstuhl + Aufsatz & Wippe Premium, Essbrett, Sitzkissen - Nordic Grey",239.7,189.9
babyartikel,Hauck,Hauck Alpha Plus Natur - Newborn Set - Hochstuhl + Neugeboreneneinsatz & Wippe,119.99,119.99
babyartikel,Fillikid,Fillikid Hochstuhl Aron - Punkte - Grau,99.99,89.99
babyartikel,Hauck,Hauck Hochstuhl Alpha Plus - Grey,99.9,99.9
babyartikel,Hauck,Hauck Beta Plus Natur Newborn Set - 5-tlg. Hochstuhl + Neugeboreneneinsatz & Wippe Stretch Beige + Essbrett + Sitzpolster,154.99,154.99
babyartikel,Hauck,Hauck Hochstuhl & Babyliege ab Geburt - Sit'n Relax Newborn Set - Pooh Cuddles,169.99,149.99
