source,brand,description,original_price,final_price
babyone,Joie,Litetrax 4 DLX Air Moos,229.95,229.95
babyone,JOOLZ,Aer Refined Black,419.0,419.0
babyone,Joie,Litetrax 4 DLX Air Shale,229.95,229.95
babyone,MOON,Nuova Black,599.9,499.0
babyone,MOON,Style Stone Melange,499.9,399.0
babyone,cybex,Gazelle S Deep Black,649.95,649.95
babyone,Hartan,Sprint GT Graphiti inkl. Falttragetasche,864.0,649.0
babyone,easywalker,Jackey Steel Grey,319.99,319.99
babyone,MOON,Resea Stone Melange,399.9,319.0
babyone,MAXI-COSI,Lila XP Essential Graphite,699.0,599.99
babyone,Joie,Versatrax Select Deep Sea,349.95,349.95
babyone,TFK,Mono Kombi mit Luftreifen,869.0,869.0
babyone,ABC DESIGN,Salsa 4 Air Diamond Rose Gold,839.9,839.9
babyone,ABC DESIGN,Samba Diamond Dolphin,839.9,839.9
babyone,ABC DESIGN,Samba Fashion Nature,889.9,889.9
babyone,cybex PLATINUM,PRIAM Rahmen inkl. Hardparts Chrome Black,799.95,799.95
babyone,Joie,Finiti Pine,399.95,399.95
babyone,ABC DESIGN,Salsa 4 Air Fashion Smaragd,839.9,799.0
babyone,hauck,Uptown Melange Grey,229.9,189.0
babyone,Joie,Mytrax Flex Select Gray Flannel,299.95,299.95
babyone,ABC DESIGN,Salsa 4 Street,729.9,729.9
babyone,Joie,Litetrax™ 4 DLX Select Laurel,209.95,209.95
babyone,JOOLZ,Hub+ Marvellous Green,699.0,699.0
babyone,ABC DESIGN,Salsa 4 Air Set Fashion Cornet,1359.9,1359.9
babyone,ABC DESIGN,Viper 4 Graphite Grey,679.9,679.9
babyone,Joie,Aeria Oyster Signature Line,449.95,449.95
babyone,MOON,Resea S Anthrazit,499.9,449.0
babyone,cybex,Gazelle S Soho Grey,669.95,669.95
babyone,cybex,Gazelle S Soho Grey,649.95,649.95
babyone,easywalker,Jackey Pebble Grey,319.99,319.99
babyone,JOOLZ,Day+ Timeless Taupe,1249.0,1249.0
babyone,STOKKE,Stokke® Beat™ Blue Melange,499.0,400.0
babyone,nuna,MIXX next Birch,599.95,599.95
babyone,bugaboo,Donkey³ Mono Complete Alu/Grey/Red,1199.0,1199.0
babyone,MAXI-COSI,Lila XP Essential Black,699.0,599.99
babyone,easywalker,Miley Coral Green,279.99,279.99
babyone,easywalker,Miley Night Black,279.99,279.99
babyone,GESSLEIN,F4 Air+ Schwarz/Tabak,719.0,545.0
babyone,GESSLEIN,F4 Air+ Dunkelblau meliert,719.0,545.0
babyone,Joie,Litetrax™ 4 DLX Select Gray Flannel,209.95,209.95
babyone,Britax Römer,Smile III Midnight Grey,599.0,510.5
babyone,Britax Römer,Smile III Frost Grey,599.0,510.5
babyone,iCandy,Peach Chrome Black Twill,999.99,999.99
babyone,easywalker,Harvey² Stone Grey,699.99,499.0
babyone,easywalker,Harvey² Night Black,699.99,499.0
babyone,easywalker,Harvey² Exclusive Grey,699.99,499.0
babyone,Joie,Versatrax Gray Flannel,329.95,329.95
babyone,BRITAX,B-Motion 4 Wine Red,309.9,240.0
babyone,STOKKE,Stokke® Xplory® X Golden Yellow,999.0,949.0
babyone,TFK,Mono Kombi mit Luftkammer-Reifen,939.0,939.0
babyone,GRACO,Evo Trio Suits me,349.95,299.99
babyone,nuna,Demi Grow Timber,899.95,899.95
babyone,nuna,DEMI grow Oxford,899.95,899.95
babyone,Joie,Aeria Carbon Signature Line,449.95,449.95
babyone,cybex,Balios M Plus Cincilla Grey,499.0,449.0
babyone,MOON,Resea S Navy,499.9,449.0
babyone,TFK,Mono Sport mit Luftreifen,869.0,869.0
babyone,cybex PLATINUM,PRIAM Rahmen inkl. Hardparts Rosegold,849.95,849.95
babyone,Knorr-baby,Luzon Black Edition Taupe,849.0,849.0
babyone,easywalker,Harvey³ Premium Diamond Grey,844.99,844.99
babyone,easywalker,Harvey³ Premium Emerald Green,844.99,844.99
babyone,easywalker,Miley Ocean Blue,279.99,279.99
babyone,easywalker,Miley Melange Grey,279.99,279.99
babyone,ABC DESIGN,Samba Diamond Navy,839.9,839.9
babyone,Joie,Litetrax™ 4 DLX Select Coal,209.95,209.95
babyone,JOOLZ,Aer Lovely Taupe,419.0,419.0
babyone,Kinderkraft,Moov 3in1,279.0,279.0
babyone,Kinderkraft,Moov 3in1,279.0,279.0
babyone,Kinderkraft,Moov 3in1,279.0,279.0
babyone,ABC DESIGN,Samba Diamond Asphalt,839.9,839.9
babyone,anex,e/type 2in1 Noir,819.0,819.0
babyone,MOON,Lusso Stone Melange,449.9,399.99
babyone,nuna,DEMI grow Caviar,799.95,799.95
babyone,nuna,DEMI Grow Frost,799.95,799.95
babyone,TFK,Mono Sport mit Luftreifen,799.0,799.0
babyone,Joie,Tourist Carbon,199.95,199.95
babyone,UPPAbaby,Cruz V2 Emmett,779.95,779.95
babyone,anex,m/type Mocco,759.0,759.0
babyone,anex,Sport m/type 2in1 Ink,759.0,759.0
babyone,Joie,Chrome DLX Foggy Grey,369.95,369.95
babyone,easywalker,Harvey³ Forest Green,719.99,719.99
babyone,easywalker,Harvey³ Steel Blue,719.99,719.99
babyone,easywalker,Rudey Forest Green,799.99,699.99
babyone,Joie,Versatrax Select Gray Flannel,349.95,349.95
babyone,JOOLZ,Hub+ Classic Blue,699.0,699.0
babyone,ABC DESIGN,Viper 4 Street 2020,679.9,679.9
babyone,cybex,Gazelle S Navy Blue,669.95,669.95
babyone,cybex,Gazelle S Classic Beige,669.95,669.95
babyone,cybex,Gazelle S Navy Blue,649.95,649.95
babyone,GESSLEIN,FX4 Life,729.0,649.0
babyone,GESSLEIN,FX4 Classic,729.0,649.0
babyone,easywalker,Harvey² All-Terrain Peak Polar Black,824.99,649.0
babyone,easywalker,Jackey Frost Blue,319.99,319.99
babyone,MOON,Nuova Air Navy,649.9,599.0
babyone,anex,e/type 2in1 Aqua,819.0,599.0
babyone,BRITAX,B-Motion 4 Cosmos Black,309.9,289.99
babyone,easywalker,Miley Desert Pink,279.99,279.99
babyone,baby jogger,Summit™ X3 Midnight Black,559.0,559.0
