source,brand,description,original_price,final_price
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Hazy Grey,209.0,209.0
babymarkt,Hauck,Hochstuhl Alpha Plus Rose inklusive Bouncer Premium Jersey Charcoal,169.89,169.89
babymarkt,Kinderkraft,Hochstuhl Fini Grey leg,109.0,109.0
babymarkt,STOKKE,Steps™ Hochstuhl weiß Buche natur,209.0,209.0
babymarkt,Nomi,by evomove Hochstuhl Set Grau,394.8,394.8
babymarkt,STOKKE,Steps™ Hochstuhl weiß Buche Hazy Grey,209.0,209.0
babymarkt,Safety 1st,Klappholzhochstuhl Nordik Natural,79.9,79.9
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche weiß inkl. Classic Baby Sitzkissen Pink Fox + gratis Baby Set weiß,303.0,303.0
babymarkt,Treppy,Hochstuhl weiß + Gratis Sitzkissen Stars,178.9,178.9
babymarkt,Safety 1st,Tischsitz Smart Lunch Warm Grey,39.9,39.9
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak Grey Wash,249.0,249.0
babymarkt,tiSsi,Kinderhochstuhl weiß,119.95,119.95
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Whitewash,209.0,209.0
babymarkt,Hauck,Hochstuhl Beta Plus Whitewashed/Dots inklusive Bouncer Premium Jersey Charcoal,209.89,209.89
babymarkt,Safety 1st,Hochstuhl Timba mit Sitzkissen Wood,99.9,99.9
babymarkt,roba,Kombihochstuhl Little Stars,69.9,69.9
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche natur inkl. Classic Baby Sitzkissen  Robot Grey + gratis Baby Set natur,303.0,303.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Hazy Grey inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche schwarz inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Lionelo,Hochstuhl Linn Plus Grey,69.99,69.99
babymarkt,Joie,Hochstuhl Mimzy Snacker Alphabet,79.95,79.95
babymarkt,Treppy,Hochstuhl natur,129.0,129.0
babymarkt,Lionelo,Hochstuhl Mona Stone,109.99,109.99
babymarkt,Lionelo,Hochstuhl Cora Bubblegum,99.99,99.99
babymarkt,Nomi,"by evomove Hochstuhlset Walnuss mit Walnusskern, natur geölt/coffee",309.9,309.9
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Sunflower Yellow,209.0,209.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak schwarz,249.0,249.0
babymarkt,Hauck,Hochstuhl Sit'n Fold Exploring a Classic,69.9,69.9
babymarkt,Safety 1st,Hochstuhl Timba mit Sitzkissen Warm Grey,99.9,99.9
babymarkt,STOKKE,Steps™ Hochstuhl schwarz Buche schwarz,209.0,209.0
babymarkt,Fillikid,Hochstuhl Tom Granit,59.9,59.9
babymarkt,Kinderkraft,Hochstuhl Fini Grey,109.0,109.0
babymarkt,roba,Treppenhochstuhl Born Up natur Set 2 in 1 inkl. Aufsatz Style grau,174.9,174.9
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Ice Lederimitat,159.0,159.0
